step,protocol,dependencies
s01_SpikePhiX,protocols/SpikePhiX.sh,
s02_CheckIlluminaEncoding,protocols/CheckIlluminaEncoding.sh,s01_SpikePhiX
s03_FastQC,protocols/FastQC.sh,s02_CheckIlluminaEncoding
s04_BwaAlign,protocols/BwaAlign.sh,s02_CheckIlluminaEncoding
s05_SamToBam,protocols/SamToBam.sh,s04_BwaAlign
s06_SortBam,protocols/SortBam.sh,s05_SamToBam
s07_MergeBam,protocols/MergeBam.sh,s06_SortBam;inputMergeBam=alignedSortedBam;inputMergeBamIdx=alignedSortedBamIdx
s08_MarkDuplicates,protocols/MarkDuplicates.sh,s07_MergeBam
s09a_Delly_DEL,protocols/Delly.sh,s07_MergeBam;dellyType=dellyTypeDEL;dellyInput=sampleMergedBam
s09b_DellyAnnotator,protocols/DellyAnnotator.sh,s09a_Delly_DEL
s10a_GenderCalculate,protocols/GenderCalculate.sh,s08_MarkDuplicates
s10b_CramConversion,protocols/CramConversion.sh,s08_MarkDuplicates
s11_MakeDedupBamMd5,protocols/MakeDedupBamMd5.sh,s08_MarkDuplicates
s12_SequenomConcordanceCheck,protocols/SequenomConcordanceCheck.sh,s08_MarkDuplicates
s13_CoverageCalculations,protocols/CoverageCalculations.sh,s08_MarkDuplicates
s14a_CollectMultipleMetrics,protocols/CollectMultipleMetrics.sh,s08_MarkDuplicates
s14b_CollectHSMetrics,protocols/CollectHSMetrics.sh,s08_MarkDuplicates
s14c_CollectGCBiasMetrics,protocols/CollectGCBiasMetrics.sh,s08_MarkDuplicates
s14d_CollectBamIndexMetrics,protocols/CollectBamIndexMetrics.sh,s08_MarkDuplicates
s15_GenderCheck,protocols/GenderCheck.sh,s10a_GenderCalculate;s14b_CollectHSMetrics
s16a_VariantCalling,protocols/VariantGVCFCalling.sh,s15_GenderCheck
s16b_CombineVariants,protocols/VariantGVCFCombine.sh,s16a_VariantCalling
s16c_GenotypeVariants,protocols/VariantGVCFGenotyping.sh,s16b_CombineVariants
s17_MergeBatches,protocols/MergeBatches.sh,s16c_GenotypeVariants
s18_VariantAnnotator,protocols/VariantAnnotator.sh,s17_MergeBatches
s19_SplitIndelsAndSNPs,protocols/SplitIndelsAndSNPs.sh,s18_VariantAnnotator
s20a_SnpFiltration,protocols/SnpFiltration.sh,s19_SplitIndelsAndSNPs
s20b_IndelFiltration,protocols/IndelFiltration.sh,s19_SplitIndelsAndSNPs
s21_MergeIndelsAndSnps,protocols/MergeIndelsAndSnps.sh,s20b_IndelFiltration;s20a_SnpFiltration
s22_VcfToTable,protocols/VcfToTable.sh,s21_MergeIndelsAndSnps
s23_InSilicoConcordance,protocols/InSilicoConcordance.sh,s22_VcfToTable
s24a_QCStats,protocols/QCStats.sh,s14a_CollectMultipleMetrics;s14b_CollectHSMetrics;s14c_CollectGCBiasMetrics;s14d_CollectBamIndexMetrics;s23_InSilicoConcordance
s24b_QCReport,protocols/QCReport.sh,s24a_QCStats
s25_CountAllFinishedFiles,protocols/CountAllFinishedFiles.sh,s24b_QCReport
s26_CopyToResultsDir,protocols/CopyToResultsDir.sh,s25_CountAllFinishedFiles
